"Buy","Income","Is.Female","Is.Married","Has.College","Is.Professional","Is.Retired","Unemployed","Residence.Length","Dual.Income","Minors","Own","House","White","English","Prev.Child.Mag","Prev.Parent.Mag"
"114","0",0.12,"1","0","0","0","0","0",0.0416666666666667,"0","1","0","1","1","1","0","0"
"116","0",0.653333333333333,"1","0","0","1","0","0",0.333333333333333,"0","0","1","0","1","1","0","0"
"117","0",0.813333333333333,"1","1","1","1","0","0",0.458333333333333,"1","0","1","1","0","1","0","0"
"118","0",0.186666666666667,"1","0","0","0","1","0",0.611111111111111,"0","0","1","1","1","1","0","1"
"119","1",1,"0","1","1","1","0","0",0.625,"1","1","1","1","1","1","0","0"
"120","0",0.533333333333333,"0","1","0","0","0","0",0.180555555555556,"0","0","1","1","1","1","0","0"
"121","1",0.786666666666667,"1","1","0","1","0","0",0.333333333333333,"1","0","1","1","1","1","0","0"
"122","1",1,"1","1","1","1","0","0",0.152777777777778,"1","1","1","1","1","1","1","0"
"123","1",0.76,"1","1","1","1","0","0",0.291666666666667,"1","0","0","0","1","1","0","0"
"124","0",0.306666666666667,"0","1","0","0","0","0",0.166666666666667,"0","1","0","1","0","0","0","0"
"125","1",0.973333333333333,"1","1","0","0","1","0",0.347222222222222,"0","0","1","1","1","1","0","0"
"126","0",0.573333333333333,"1","0","1","1","0","0",0.5,"0","0","0","0","1","1","0","1"
"127","0",0.4,"1","0","0","0","0","0",0.486111111111111,"0","0","0","0","1","1","0","0"
"128","1",1,"0","0","1","1","0","0",0.125,"0","0","0","0","1","1","0","0"
"129","1",1,"1","0","1","1","0","0",0.0416666666666667,"1","0","0","0","1","1","0","0"
"130","0",0.546666666666667,"0","1","0","1","0","0",0.208333333333333,"0","1","1","1","1","1","0","0"
"131","0",0.08,"1","0","0","0","0","0",0.0277777777777778,"0","0","0","0","1","1","1","0"
"132","1",1,"1","0","1","1","0","0",0.708333333333333,"0","1","0","1","1","1","0","0"
"133","0",0.48,"1","1","0","0","0","0",0.0416666666666667,"1","1","0","1","1","1","0","0"
"134","1",1,"0","1","1","1","0","0",0.152777777777778,"1","0","1","1","1","1","0","0"
"135","0",0.346666666666667,"0","0","0","1","0","0",0.277777777777778,"0","0","0","0","1","1","0","0"
"136","0",0.44,"0","0","0","1","0","0",0.0138888888888889,"0","0","1","1","0","1","0","0"
"137","0",0.493333333333333,"1","0","1","1","0","0",0.111111111111111,"0","0","0","0","1","1","0","0"
"138","0",0.253333333333333,"1","0","0","1","0","0",0.152777777777778,"0","0","0","0","1","1","0","0"
"139","0",0.253333333333333,"0","0","0","0","0","0",0.263888888888889,"0","0","0","0","1","1","1","0"
"140","0",0,"0","0","1","0","0","0",0.0277777777777778,"1","0","0","0","1","1","0","0"
"141","0",0.666666666666667,"0","0","1","1","0","0",0.416666666666667,"0","0","1","1","0","0","0","0"
"142","0",0.64,"0","1","0","0","0","0",0.305555555555556,"1","1","1","1","0","0","0","0"
"143","0",1,"0","1","0","0","1","0",0.194444444444444,"0","0","1","1","1","1","0","0"
"144","0",0.0266666666666667,"1","0","0","0","1","0",0.0277777777777778,"0","0","1","0","1","1","0","0"
"146","0",0.653333333333333,"0","0","0","1","0","0",0.25,"0","0","0","0","1","1","0","0"
"147","0",0.346666666666667,"0","0","1","1","0","0",0.0416666666666667,"0","0","0","0","1","1","0","0"
"150","0",0.653333333333333,"1","1","0","0","0","0",0.291666666666667,"1","0","1","1","1","1","0","0"
"151","0",0.44,"1","1","1","0","0","0",0.375,"0","1","1","1","1","1","0","0"
"153","0",0.08,"1","0","0","0","0","0",0.25,"0","1","0","1","1","1","0","0"
"157","0",0.413333333333333,"0","0","0","0","0","0",0.138888888888889,"0","0","0","1","0","1","0","0"
"158","0",0.173333333333333,"1","0","0","0","0","0",0.208333333333333,"0","1","0","1","1","1","0","0"
"159","0",0.08,"1","0","0","0","0","0",0.208333333333333,"0","1","0","1","1","1","0","0"
"160","0",0.2,"0","0","0","0","0","0",0.111111111111111,"0","1","0","1","0","1","0","0"
"161","0",0.04,"0","0","0","0","0","0",0.222222222222222,"0","1","0","1","1","1","0","0"
"162","0",0.2,"1","0","0","0","0","0",0.458333333333333,"0","0","0","0","0","1","0","0"
"164","0",0.0266666666666667,"0","1","1","0","0","0",0.361111111111111,"1","0","0","0","0","1","0","0"
"165","0",0.413333333333333,"1","0","1","1","0","0",0.25,"0","0","1","1","1","1","0","0"
"166","0",0,"0","0","0","0","0","0",0.152777777777778,"0","0","0","1","0","1","0","0"
"168","0",0.493333333333333,"0","0","0","0","0","0",0.263888888888889,"0","1","0","0","0","1","0","0"
"170","0",0.0533333333333333,"1","0","0","0","0","0",0.236111111111111,"0","1","0","1","1","1","1","0"
"171","0",0.106666666666667,"1","0","1","0","0","0",0.527777777777778,"0","0","0","1","1","1","1","0"
"173","0",0,"1","0","0","0","0","0",0.236111111111111,"0","1","0","1","1","1","1","0"
"175","0",0.64,"0","0","0","0","0","0",0.208333333333333,"0","0","0","0","0","1","0","0"
"176","0",0.373333333333333,"0","0","0","0","0","0",0.152777777777778,"0","1","0","1","0","0","0","0"
"177","0",0.0133333333333333,"1","0","0","0","0","1",0.208333333333333,"0","1","0","1","0","0","0","0"
"178","0",0.44,"0","0","1","1","0","0",0.333333333333333,"0","0","0","1","1","1","0","0"
"179","0",0.253333333333333,"1","1","0","0","1","0",0.194444444444444,"0","0","1","1","1","1","0","0"
"180","0",0.32,"1","0","0","0","0","0",0.430555555555556,"0","0","0","0","0","1","0","0"
"182","0",0.64,"0","0","1","1","0","0",0.125,"0","0","1","1","0","1","0","0"
"183","1",1,"1","0","0","0","1","0",0.791666666666667,"0","0","1","0","1","1","0","0"
"184","1",0.773333333333333,"1","1","1","0","0","0",0.111111111111111,"1","0","1","1","1","1","0","1"
"185","0",0.0133333333333333,"0","0","0","0","0","0",0.0277777777777778,"0","0","0","1","1","1","0","0"
"186","0",0,"1","0","0","0","0","0",0.194444444444444,"0","1","0","1","1","1","0","0"
"187","1",0.893333333333333,"1","1","0","0","0","0",0.319444444444444,"1","0","1","1","1","1","0","0"
"188","0",0.0933333333333333,"1","0","1","0","0","0",0.0555555555555556,"0","0","0","0","1","1","0","0"
"190","1",1,"0","1","1","0","0","0",0.0694444444444444,"1","0","1","1","1","1","0","1"
"191","0",0.706666666666667,"1","1","0","0","0","0",0.236111111111111,"1","0","1","1","1","1","0","0"
"193","0",0.586666666666667,"1","0","0","1","0","0",0.0972222222222222,"0","0","0","1","1","1","0","0"
"194","1",1,"1","0","0","0","0","0",0.0416666666666667,"0","0","0","0","1","1","0","0"
"196","0",0.04,"0","0","1","0","0","0",0.875,"0","0","0","0","1","1","0","0"
"197","0",0.36,"1","0","0","1","0","0",0.805555555555556,"0","0","1","1","1","1","0","0"
"198","0",0.106666666666667,"1","0","0","0","0","0",0.222222222222222,"0","1","0","1","1","1","0","0"
"199","0",0.693333333333333,"1","1","0","0","0","0",0.291666666666667,"0","0","1","1","1","0","0","0"
"200","0",0.453333333333333,"0","1","0","1","0","0",0.375,"0","1","0","1","1","1","0","0"
"201","0",0.133333333333333,"1","0","0","0","0","0",0.194444444444444,"0","1","0","1","0","1","0","0"
"202","0",0.426666666666667,"0","0","0","1","0","0",0.166666666666667,"0","0","0","0","1","1","0","0"
"203","0",0.213333333333333,"1","0","0","1","0","0",0,"1","0","0","0","0","1","0","0"
"204","0",0.28,"1","0","1","1","0","0",0.0416666666666667,"0","0","0","0","1","1","0","0"
"205","0",0.653333333333333,"1","0","1","1","0","0",0,"0","0","0","1","1","1","0","0"
"206","1",1,"0","0","0","0","0","0",0.0138888888888889,"0","1","1","1","1","0","0","1"
"208","0",0.12,"0","0","0","0","0","1",0.0416666666666667,"0","0","0","0","0","0","0","0"
"209","0",0.12,"0","0","0","0","0","0",0.0694444444444444,"0","0","0","0","0","0","0","0"
"210","1",0.653333333333333,"1","1","0","0","0","0",0.347222222222222,"1","1","1","1","0","1","0","0"
"211","0",0.64,"1","0","0","1","0","0",0.0694444444444444,"0","1","0","0","0","1","0","0"
"213","0",0.2,"0","1","0","0","1","0",0.277777777777778,"0","0","1","1","1","1","0","0"
"214","0",0.413333333333333,"1","1","1","0","0","1",0.222222222222222,"1","0","1","1","1","1","0","0"
"215","0",0.413333333333333,"1","0","0","0","0","0",0.208333333333333,"0","0","0","1","1","1","0","0"
"216","0",0.12,"1","0","0","0","0","0",0.291666666666667,"0","0","0","1","1","1","0","0"
"217","0",0.133333333333333,"1","0","0","0","0","1",0.25,"0","0","0","1","1","1","0","0"
"218","0",0.16,"0","0","1","1","0","0",0.111111111111111,"0","0","0","0","1","1","0","0"
"219","0",0.146666666666667,"1","0","0","1","0","0",0.180555555555556,"0","0","0","0","1","1","0","0"
"220","0",0.16,"0","0","0","1","0","0",0.319444444444444,"0","0","0","0","1","0","0","0"
"221","0",0.186666666666667,"1","0","0","0","0","0",0.111111111111111,"0","0","0","0","1","1","0","1"
"222","0",0.0933333333333333,"1","0","0","0","0","0",0.138888888888889,"0","0","0","0","1","1","0","0"
"223","0",0.306666666666667,"0","0","1","0","0","0",0.0555555555555556,"0","0","0","0","1","1","0","1"
"224","0",0.373333333333333,"0","0","0","0","0","0",0.458333333333333,"0","0","0","1","0","0","0","0"
"226","0",0.506666666666667,"1","1","0","0","0","0",0.777777777777778,"0","1","1","1","0","1","0","0"
"229","0",0.0933333333333333,"0","0","0","0","0","0",0.0694444444444444,"0","1","0","1","0","1","0","0"
"230","0",0.24,"0","0","0","0","0","0",0.111111111111111,"0","0","0","1","1","1","1","0"
"231","0",0.666666666666667,"0","0","0","0","0","0",0.472222222222222,"0","1","1","1","0","1","0","0"
"232","0",0.306666666666667,"0","0","0","0","0","0",0.0138888888888889,"0","0","0","0","1","1","0","0"
"234","1",1,"1","1","1","1","0","0",0.638888888888889,"1","0","1","1","1","1","0","0"
"235","0",0.546666666666667,"0","1","0","0","0","0",0.0277777777777778,"1","0","0","0","0","0","0","0"
"241","0",0.36,"1","0","0","0","0","0",0.0555555555555556,"0","0","0","0","1","1","0","0"
"243","0",0.0266666666666667,"0","0","0","0","0","0",0.263888888888889,"1","0","0","0","0","1","0","0"
"244","0",0.266666666666667,"1","0","0","0","1","0",0.736111111111111,"0","0","0","0","1","1","0","0"
"245","0",0.0533333333333333,"0","0","0","0","0","0",0.208333333333333,"0","1","0","1","1","1","0","0"
"247","0",0.0266666666666667,"1","0","1","0","0","0",0.375,"1","0","0","0","1","1","0","0"
"248","0",0.653333333333333,"1","0","0","1","0","0",0.0138888888888889,"0","0","0","1","1","1","1","0"
"249","1",1,"1","1","1","0","0","0",0.0138888888888889,"0","0","1","1","1","1","0","0"
"250","0",0.2,"1","0","0","0","0","0",0.125,"0","1","0","0","1","1","0","0"
"251","0",0.453333333333333,"0","0","0","0","0","0",0.319444444444444,"0","1","0","1","0","0","0","0"
"252","0",1,"0","1","1","1","0","0",0.638888888888889,"1","1","1","1","0","0","0","0"
"253","0",0.653333333333333,"1","1","0","0","0","0",0.375,"1","1","1","1","1","1","0","0"
"254","0",0.653333333333333,"0","1","0","1","0","0",0.375,"0","0","1","1","1","1","0","0"
"256","0",0.466666666666667,"1","1","1","0","0","0",0.347222222222222,"1","0","1","1","1","1","0","0"
"257","1",1,"0","1","0","1","0","0",0.25,"1","1","1","1","1","1","0","0"
"258","1",1,"1","0","1","1","0","0",0.236111111111111,"0","0","1","1","1","1","0","0"
"259","0",0.133333333333333,"1","0","0","0","0","0",0.0555555555555556,"0","0","0","0","0","1","0","0"
"260","1",1,"1","1","1","1","0","0",0.0694444444444444,"1","0","1","0","1","1","1","1"
"261","0",0.173333333333333,"1","0","0","0","0","0",0.472222222222222,"0","0","0","0","1","1","0","0"
"262","0",0.8,"1","1","1","1","0","0",0.0277777777777778,"1","0","1","1","1","1","0","0"
"263","0",0.0533333333333333,"1","0","0","0","0","0",0.222222222222222,"0","1","0","1","0","1","0","0"
"264","1",1,"0","0","0","1","0","0",0.0555555555555556,"0","1","0","1","0","1","1","0"
"266","1",1,"0","0","1","1","0","0",0.236111111111111,"0","0","1","1","1","1","0","1"
"267","0",0.226666666666667,"0","0","0","0","0","0",0.319444444444444,"0","0","0","0","1","1","0","0"
"268","1",0.92,"0","0","1","1","0","0",0.291666666666667,"0","0","1","1","1","1","0","0"
"269","0",0.133333333333333,"0","0","0","0","0","1",0.208333333333333,"0","1","0","1","1","1","0","0"
"270","1",1,"0","1","1","1","0","0",0.0277777777777778,"1","0","0","1","1","1","0","0"
"271","0",0.0666666666666667,"1","0","0","0","0","0",0.0972222222222222,"0","1","0","1","1","1","0","0"
"273","0",0.533333333333333,"0","0","1","0","0","0",0.402777777777778,"0","0","0","0","0","0","0","0"
"274","0",0.586666666666667,"1","1","0","0","0","0",0.138888888888889,"1","1","1","1","0","1","0","0"
"275","0",0.253333333333333,"0","0","1","0","0","0",0.0416666666666667,"0","0","0","0","1","1","0","0"
"276","0",0.36,"0","0","1","0","0","0",0.0416666666666667,"0","0","1","1","0","0","0","1"
"277","0",0.0266666666666667,"0","0","0","0","0","0",0.208333333333333,"0","1","0","1","1","1","0","0"
"278","0",0.333333333333333,"1","0","0","0","0","0",0.0694444444444444,"0","1","0","1","0","0","0","0"
"280","0",0.186666666666667,"1","0","1","0","0","0",0.0138888888888889,"0","0","0","0","1","1","0","0"
"281","0",0.0133333333333333,"1","0","0","0","0","0",0.111111111111111,"0","0","0","0","0","0","0","0"
"282","0",0.453333333333333,"1","0","0","1","0","0",0.125,"1","1","1","1","1","1","0","0"
"284","0",0.333333333333333,"1","1","0","0","0","0",0.347222222222222,"1","1","0","0","1","1","0","0"
"285","0",0.986666666666667,"0","0","0","0","0","0",0.277777777777778,"0","1","0","1","0","1","0","0"
"287","0",0.426666666666667,"1","1","0","0","0","0",0.222222222222222,"0","0","1","1","1","1","0","0"
"288","0",0.24,"0","0","0","0","0","0",0.444444444444444,"0","0","0","0","1","1","0","0"
"289","0",0.12,"1","0","0","0","0","0",0.0138888888888889,"0","0","0","1","1","1","0","0"
"290","0",0.506666666666667,"1","1","0","0","0","0",0.597222222222222,"1","0","1","1","1","1","0","0"
"291","1",1,"1","1","1","1","0","0",0.333333333333333,"1","1","1","1","1","1","0","0"
"292","0",0.0133333333333333,"1","0","0","0","0","0",0.194444444444444,"0","1","0","1","1","1","0","0"
"294","0",0.0133333333333333,"0","0","0","0","0","0",0.222222222222222,"0","1","0","0","0","1","0","0"
"295","0",0.0933333333333333,"0","0","0","0","0","0",0.0694444444444444,"0","1","0","1","0","1","0","0"
"296","0",0.133333333333333,"1","0","0","0","1","0",0.305555555555556,"0","0","0","0","1","1","0","0"
"297","1",1,"0","1","1","1","0","0",0.0972222222222222,"1","1","1","1","1","1","0","1"
"298","0",0.0266666666666667,"0","0","0","0","0","0",0.222222222222222,"0","1","0","1","0","1","1","0"
"299","1",1,"0","1","1","1","0","0",0.361111111111111,"1","0","1","1","1","1","0","0"
"301","1",0.933333333333333,"1","1","1","1","0","0",0.25,"1","1","1","1","1","1","0","0"
"302","0",0.866666666666667,"1","0","0","0","0","0",0.333333333333333,"0","1","0","1","0","1","0","0"
"303","0",0.466666666666667,"0","0","1","0","0","0",0.0138888888888889,"0","0","0","0","0","1","0","0"
"304","1",1,"0","1","1","1","0","0",0.680555555555556,"1","1","1","1","1","1","0","0"
"305","0",0.653333333333333,"1","1","1","1","0","0",0,"1","0","0","0","1","1","0","0"
"308","1",0.64,"1","0","0","1","0","0",0.597222222222222,"0","0","0","0","1","1","0","1"
"309","0",0.0533333333333333,"1","0","0","0","0","0",0.208333333333333,"0","1","0","0","0","1","0","0"
"310","0",0.0266666666666667,"1","0","0","0","0","0",0.0972222222222222,"0","1","0","1","0","0","0","0"
"312","0",0.52,"1","0","0","1","0","0",0.319444444444444,"0","0","0","1","1","1","0","0"
"313","1",1,"1","1","1","1","0","0",0.152777777777778,"1","0","1","1","0","0","1","0"
"314","0",0.346666666666667,"0","0","0","1","0","0",0.347222222222222,"0","0","1","1","1","1","0","0"
"315","1",1,"0","0","1","1","0","0",0.0833333333333333,"1","0","0","0","1","1","0","1"
"316","0",0.293333333333333,"0","0","0","0","0","0",0.347222222222222,"0","1","0","1","1","1","0","0"
"317","0",0.0933333333333333,"1","1","0","0","1","0",0.388888888888889,"0","1","0","1","0","1","0","0"
"318","1",0.906666666666667,"1","1","0","0","0","0",0.416666666666667,"1","0","1","1","0","0","0","0"
"319","0",0.6,"0","1","0","1","0","0",0.194444444444444,"1","0","0","1","0","1","0","0"
"320","1",0.853333333333333,"0","1","1","0","0","0",0.138888888888889,"1","0","1","1","1","1","1","0"
"321","0",0.306666666666667,"1","0","0","1","0","0",0.0138888888888889,"0","0","0","0","1","1","0","0"
"322","1",1,"1","0","1","1","0","0",0.597222222222222,"0","1","1","1","1","1","0","0"
"323","0",0.0533333333333333,"0","0","0","0","0","0",0.513888888888889,"0","0","0","0","1","1","0","0"
"324","0",0.24,"1","0","0","1","0","0",0.527777777777778,"0","0","0","1","0","1","0","0"
"326","0",0.333333333333333,"0","0","1","0","0","0",0.236111111111111,"0","0","0","1","0","1","0","0"
"327","0",1,"1","1","0","0","0","0",0.277777777777778,"0","1","1","1","0","0","1","0"
"328","0",0.453333333333333,"0","0","0","0","0","0",0.166666666666667,"0","1","0","1","0","1","0","0"
"329","0",0.8,"0","1","0","0","0","0",0.25,"1","1","0","1","1","1","0","1"
"330","0",0.653333333333333,"0","1","0","0","0","0",0.152777777777778,"1","0","1","1","1","1","0","0"
"331","0",0.906666666666667,"0","1","0","1","0","0",0.472222222222222,"0","0","1","1","1","1","0","0"
"332","0",0.546666666666667,"0","0","1","0","0","1",0.0277777777777778,"0","0","0","1","1","1","0","0"
"333","0",0.92,"1","0","1","1","0","0",0.541666666666667,"0","1","0","1","0","1","0","0"
"334","0",0.52,"1","1","1","1","0","0",0.375,"0","0","0","0","1","1","0","0"
"335","0",0.32,"1","0","1","1","0","0",0.125,"0","0","0","0","1","1","0","0"
"336","0",0.08,"1","0","0","0","0","0",0.222222222222222,"0","1","0","1","1","1","0","0"
"337","0",0.12,"0","0","0","0","0","1",0.111111111111111,"0","0","1","1","1","1","0","0"
"339","0",0.733333333333333,"0","1","1","1","0","0",0.513888888888889,"1","1","1","1","1","1","0","0"
"340","0",0.373333333333333,"1","0","0","0","0","0",0.5,"0","1","0","0","1","1","0","0"
"342","0",0.52,"0","0","1","1","0","0",0.5,"0","0","0","0","0","1","0","0"
